locale,type,week_zero,week_one,week_two,week_few,week_many,week_other,day_zero,day_one,day_two,day_few,day_many,day_other,hour_zero,hour_one,hour_two,hour_few,hour_many,hour_other,minute_zero,minute_one,minute_two,minute_few,minute_many,minute_other,second_zero,second_one,second_two,second_few,second_many,second_other
en-CX,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CX,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-CY,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-CY,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-DE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-DE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-DG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-DG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-DK,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-DK,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-DM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-DM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-ER,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-ER,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-FI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-FI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-FJ,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-FJ,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-FK,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-FK,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-FM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-FM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GB,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GB,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GD,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GD,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GH,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GH,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GU,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GU,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-GY,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-GY,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-HK,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-HK,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-IE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-IE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-IL,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-IL,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-IM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-IM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-IN,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-IN,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-IO,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-IO,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-JE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-JE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-JM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-JM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-KE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-KE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-KI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-KI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-KN,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-KN,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-KY,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-KY,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-LC,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-LC,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-LR,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-LR,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-LS,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-LS,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MH,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MH,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MO,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MO,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MP,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MP,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MS,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MS,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MT,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MT,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MU,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MU,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MV,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MV,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MW,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MW,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-MY,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-MY,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NA,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NA,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NF,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NF,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NL,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NL,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NR,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NR,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NU,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NU,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-NZ,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-NZ,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-PG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-PG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-PH,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-PH,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-PK,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-PK,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-PN,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-PN,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-PR,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-PR,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-PW,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-PW,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-RW,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-RW,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SB,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SB,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SC,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SC,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SD,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SD,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SE,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SE,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SH,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SH,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SL,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SL,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SS,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SS,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SX,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SX,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-SZ,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-SZ,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-TC,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-TC,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-TK,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-TK,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-TO,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-TO,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-TT,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-TT,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-TV,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-TV,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-TZ,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-TZ,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-UG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-UG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-UM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-UM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-VC,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-VC,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-VG,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-VG,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-VI,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-VI,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-VU,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-VU,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-WS,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-WS,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-ZA,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-ZA,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
